   TT       PID      AT       CT       IO_D      WT        RT       TRT      DL
   6       48        3        3        0         1         4        4       44
   6        6        3        4        0         0         3        4       22
   8        1        1        6        0         2         1        8       30
  11        4        3        7        0         2         3        9       30
  11       52        6        3        0         5         0        6       60
  12       47        3       10        0         0         3       10       60
  12       51        5        7        0        13         7        8      120
  12       54        7        6        0         5         0        6      240
  12       56        9        4        0         3         0        4      240
  12       57        9        3        0         3         0        4      120
  12       11        5        7        0         1         5        8       42
  13        2        2       12        0         0         2       12       30
  13       50        5        8        0        14         7        9       60
  13       53        7        7        0         6         0        7      120
  13       59       10        4        0         6        11        4      120
  16       16        8        4        0         5         8        9       13
  17       20       13        5        0         0        13        5       40
  18       18       13        6        0         0        13        6       42
  19       61       13        6        0         1        14        7      104
  19       62       14        5        0         5         0        6      208
  19       63       15        4        0         4         0        5      208
  19       55        7        7        0         6        13       13       52
  19       66       16        3        0         4        19        4      104
  19       71       19        2        0         0         0        1      208
  20       60       13        7        0         1        14        8       60
  20       65       16        4        0         5        19        5      120
  20       68       17        3        0         3         0        4      120
  21       13        6        5        0        11         6       16       30
  23       49        4       12        0         8        12       20       32
  23       67       16        7        0         7         0        8       64
  23       70       18        5        0         9        20        6       64
  23       74       21        3        0         2         0        3      128
  23       22       18        5        0         1        18        6       25
  24       77       23        2        0         0        23        2      120
  24       80       23        1        0         1         0        2      240
  24       58        9        5        0        11        20       16       52
  24       75       21        3        0         3         0        4      104
  25       64       15        5        0         6        21       11       60
  25       73       21        4        0         4         0        5      120
  25       25       22        2        0         2        22        4       42
  30       72       20       10        0         1        21       11       80
  30       76       22        8        0        14        24        9      160
  30       84       25        6        0         5         0        6      320
  30       86       26        5        0         4         0        5      320
  30       79       23        7        0        12        25        8      160
  30       89       28        3        0         2         0        3      320
  30       81       24        7        0         0        24        7      160
  30       82       24        6        0        11        26        7      320
  30       85       26        5        0         4         0        5      640
  30       88       27        4        0         4        30        4      640
  30       87       26        4        0         5        30        5      320
  30       91       30        3        0         0         0        1      640
  31       69       18       12        0         2        20       14       80
  31       78       23        8        0        14        25        9      160
  31       83       25        7        0         6         0        7      320
  31       90       29        3        0         2         0        3      320
  41       98       41        1        0         0        41        1      640
  42       95       40        3        0         0        40        3      640
  42       97       41        2        0         0        41        2      320
  42       99       42        1        0         0        42        1      640
  43       94       39        5        0         0        39        5      320
  43      100       42        1        0         1        43        2      320
  43       96       40        4        0         0        40        4      160
  43      101       43        1        0         0        43        1      320
  44       93       38        6        0         1        39        7      160
  44       92       37        8        0         0        37        8       80
  55       12        6        9        2        39         6       50       26
  59      110       57        2        0         1        58        3       90
  59       35       55        5        0         0        55        5       45
  59      107       56        3        0         5        57        4       90
  59      111       57        2        0         2         0        3      180
  64       17        9        8        2        46         9       56       17
  66      102       55       12        0         0        55       12       90
  66      105       55       11        0        11         0       12      180
  66      108       56       10        0        18        59       11      180
  66      118       61        7        0         5         0        6      360
  66      119       62        6        0         4         0        5      360
  67       19       13        8        2        45        13       55       30
  71       41       68        4        0         0        68        4       17
  72      106       56       16        0         1        57       17      200
  72      109       57       15        0        20        67       16      400
  72      121       69       12        0         5        70        4      800
  72      123       71       10        0         1         0        2     1600
  72      113       59       13        0        24        61       14      400
