   TT       PID      AT       CT       IO_D      WT        RT       TRT      DL
  72      120       63       10        0         9         0       10      800
  72      103       55       17        0         1        56       18      100
  72      116       61       11        0        11         0       12      200
  74      104       55       15        0         5        60       20       90
  74      115       60       14        0        16        73       15      180
  74      127       74       12        0         0         0        1      360
  74      117       61       13        0        13         0       14      180
  76       39       68        9        3        -3        68        9       48
  80      128       74        6        0         1        75        7      180
  80      131       75        5        0         5         0        6      360
  80      135       77        3        0         3         0        4      360
  80      112       58       12        0        11        60       23       90
  80      114       60       11        0        28        72       21      180
  80      124       72       10        0        16        72        9      360
  80      125       73        8        0         7         0        8      720
  80      130       74        7        0         6         0        7      720
  80      129       74        8        0        11        75        7      360
  80      133       75        7        0         5         0        6      720
  80      136       77        5        0         3         0        4      720
  83       42       68       12        0         4        68       16       18
  95      137       80       15        0         1        81       16      392
  95      138       81       14        0        26        83       15      784
  95      145       85       11        0        10         0       11     1568
  95      148       91        5        0         7        92        5     1568
  95      149       92        4        0         3         0        4     3136
  95      150       94        2        0         1         0        2     3136
  95      142       83       12        0        12         0       13      784
  95      134       76       15        0         5        81       20      196
  95      139       81       14        0        14         0       15      392
  95      141       82       13        0        13         0       14      392
  95      140       81       14        0         1        82       15      196
  95      146       87        8        0         8         0        9      392
  95      147       89        6        0         6         0        7      392
  95      132       75       16        0         5        80       21      196
  95      143       84       11        0        11         0       12      392
  95      126       73       16        0         7        80       23       98
  95      144       85       10        0        10         0       11      196
  98       44       82       13        0         4        82       17       48
 100      122       69       20        0        12        72       32       98
 101        3        2        9        7        84         2      100       30
 105        5        3       18       10        75         3      103       40
 112       26       28        8        4        73        28       85       30
 114       29       28        7        8        72        28       87       45
 115        7        4       13        9        90         4      112       16
 115       43       76       15        0        25        76       40       48
 124       28       28        9        7        81        28       97       45
 131        9        5       16       10       101         5      127       32
 136       27       28        8        5        96        28      109       43
 144       31       37        8        5        95        37      108       29
 149        8        4       11       12       123         4      146       15
 149       30       37        9        4       100        37      113       40
 155       10        5       15       10       126         5      151       33
 186       14        6       11       10       160         6      181       11
 198       15        7       15       10       167         7      192       12
 199       37       55       16        3       126        55      145       45
 219       21       17       13       10       180        17      203       11
 229       23       18       17       10       185        18      212       40
 240       24       22       15       10       194        22      219       12
 276       32       55       13       18       191        55      222       45
 308       38       68       22       18       201        68      241       49
 324       45       82       17       18       208        82      243       60
 350       36       55       14       22       260        55      296       50
 358       46       82       19       22       236        82      277       70
 372       34       55       18       23       277        55      318       50
 386       33       55       12       37       283        55      332       50
 397       40       68       39       27       264        68      330       48
Processes :150
Avg WT = 32.3733,      Avg RT = 26.0533,      Avg TRT = 39.76
Megration % = 88.6667       RTF = 54 %        MaxW = 34.6667 %
Work Steal % = 2.66667%
Forked Process :69.3333%
Killed Process :46%

Processors :19 [ 7 FCSF 3 SJF 5 RR 4 EDF] 
Processors Load
P1 = 1.10664 %,      P2 = 1.14017 %,      P3 = 0.871898 %,      P4 = 1.0228 %,      P5 = 1.14017 %,      P6 = 1.08987 %,      P7 = 1.08987 %,      P8 = 2.95104 %,      P9 = 1.54259 %,      P10 = 0.855131 %,      P11 = 0.167673 %,      P12 = 0.0838364 %,      P13 = 0.0838364 %,      P14 = 0 %,      P15 = 0 %,      P16 = 0 %,      P17 = 0 %,      P18 = 0 %,      P19 = 0 % 

Processors Utiliz
P1 = 16.6247 %,      P2 = 17.1285 %,      P3 = 13.0982 %,      P4 = 15.3652 %,      P5 = 17.1285 %,      P6 = 16.3728 %,      P7 = 16.3728 %,      P8 = 44.3325 %,      P9 = 23.1738 %,      P10 = 12.8463 %,      P11 = 2.51889 %,      P12 = 1.25945 %,      P13 = 1.25945 %,      P14 = 0 %,      P15 = 0 %,      P16 = 0 %,      P17 = 0 %,      P18 = 0 %,      P19 = 0 %
Avg utilization = 10.3937 % 
EDF persentage = 75.3333 % 
